image_path,label
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0001_bright_2051.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0002_flipped_834.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0002_noisy_1381.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0002_shifted_1015.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0003_noisy_2371.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0003_shifted_1739.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0004_bright_2307.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0004_rotated_2425.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0004_shifted_2620.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0004_shifted_638.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0005_noisy_960.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0005_zoomed_1569.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0006_sheared_1130.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0006_sheared_2595.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0006_shifted_651.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0007_sheared_1495.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0008_flipped_124.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0009_shifted_1492.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0009_zoomed_1238.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0009_zoomed_1805.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0010_bright_2500.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0010_bright_291.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0010_noisy_1983.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0010_rotated_502.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0011_bright_971.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0011_flipped_2065.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0011_sheared_1226.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0011_shifted_673.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0012_rotated_2512.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0012_rotated_911.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0013_bright_2332.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0013_bright_2756.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0014_bright_1862.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0014_noisy_1274.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0014_zoomed_2354.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_flipped_2287.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_noisy_1149.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_noisy_1421.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_noisy_18.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_rotated_909.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0015_shifted_1627.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_noisy_1884.jpg,Aloe Rot
Aloe Vera Leaf Disease Detection Dataset/Aloe Rot/AloeVeraOriginalRot0016_rotated_1212.jpg,Aloe Rot
