task_id,user_id,day_of_week,hour_of_day,tasks_scheduled_same_day,previous_misses_7d,completion_streak,avg_minutes_to_complete,reminder_enabled,number_of_reminders_sent_for_task,missed
qw2vmcqbnkx9dvnu,er14ffyvnvqjt7ye,0,20,1,0,0,-1.0,1,0,0
fnkomv2xcdyk0x65,vkizzqy72wx7ptx6,2,17,1,0,0,-1.0,0,0,0
pnngh8riec4d145b,5qbswrpbjek5rbw2,2,0,3,0,0,-1.0,1,0,0
6gyup12spfhv5brn,6n7hv3izky22ubtx,6,16,3,0,0,-1.0,0,0,0
ldzmfb7r31qw6ahf,hv3a3zmf8mdd4v30,4,20,1,0,0,-1.0,1,0,0
ugysm8t2sa5bnn0m,f4zw9xa3kx7eedtj,5,8,3,0,0,-1.0,0,0,1
bh25llo3rbxk5bxj,qm5k8p4q0b8ic8bb,0,8,1,0,0,-1.0,1,0,0
kqzfpq06wpx2cyos,5qbswrpbjek5rbw2,3,22,1,0,1,-1.0,0,0,0
lk8ags6e1zhwy9he,9v86wzs3t60rjiw1,5,5,1,0,0,-1.0,1,0,0
irmuq9e5cozrooue,tvazccblskrt05ui,2,23,2,0,0,-1.0,1,0,0
64jwtektsg7fxzv4,li7kq1uymrlrmjkv,1,18,2,0,0,-1.0,0,0,0
foqmf5l9mo1sdieq,yzycwtiqj7yhl1c3,0,16,3,0,0,-1.0,1,0,0
8hmbr5xqt4p501no,qm5k8p4q0b8ic8bb,1,2,2,0,1,420.0,0,0,1
sbelrqvslwf90km3,9v86wzs3t60rjiw1,3,4,1,0,1,-1.0,1,0,0
gww4fyb8dalfyo17,6n7hv3izky22ubtx,2,20,1,0,1,720.0,0,0,0
kk791zyrru7zkut6,f4zw9xa3kx7eedtj,5,8,3,0,0,-1.0,0,0,1
iidlrye89fx5rx1k,li7kq1uymrlrmjkv,4,23,3,0,1,60.0,0,0,1
5aud9k9tr74qgefq,qh7m35ixokc1msy4,6,21,1,0,0,-1.0,0,0,0
qjluujmiyqfy751y,f4zw9xa3kx7eedtj,4,10,1,0,0,-1.0,0,0,0
n7e36htf4pyzr6qc,7s55j2o7s3kkv9rf,1,3,1,0,0,-1.0,1,0,1
kgex08n6q7nc85e4,yzycwtiqj7yhl1c3,2,14,2,0,1,60.0,1,0,0
p15ahdbvzb0oih5c,5qbswrpbjek5rbw2,5,10,1,0,2,180.0,1,0,0
7y2lofn1r4kz36u8,dswm31yihair4cow,2,3,1,0,0,-1.0,1,0,0
h6k6hg0016zzoilk,6n7hv3izky22ubtx,1,2,1,0,2,720.0,1,0,0
pfln4rxyj38xrg2g,f8e8ld4d6af58c2j,5,2,2,0,0,-1.0,0,0,0
w76xatoaztkszp7g,vkizzqy72wx7ptx6,0,16,3,0,1,-1.0,0,0,0
